ring_id,vertex_id,x,y
0,0,1456200,-1372280
0,1,1456000.78994217,-1372278.33294915
0,2,1456288.71493179,-1372189.97390893
0,3,1455950,-1372205
0,4,1456210,-1372140
0,5,1455992.47323157,-1372091.31712244
0,6,1455934.6988131,-1371998.19342988
0,7,1456085.43568458,-1371814.10788388
0,8,1455820.73371048,-1371938.54697557
0,9,1456033.56801087,-1371712.14538327
0,10,1455741.66392734,-1371789.38819945
0,11,1455623.90304662,-1371876.09695248
0,12,1455804.31405236,-1371626.55489271
0,13,1455643.44707899,-1371755.87964057
0,14,1455619.9363731,-1371542.57757982
0,15,1455502.3124665,-1371663.61117171
0,16,1455458.9085882,-1371478.25931444
0,17,1455297.17253952,-1371508.2358846
0,18,1455224.34658089,-1371649.07472685
0,19,1455322.25953807,-1371145.52237564
0,20,1455203.74720463,-1371562.68303425
0,21,1455199.23003592,-1371211.23752466
0,22,1455151.66666627,-1371493.88889274
0,23,1455145.57143406,-1371164.23814555
0,24,1455108.74440723,-1371414.36890316
0,25,1455040.01181858,-1371204.69823186
0,26,1455040.04251983,-1371554.31320957
0,27,1454965.64937688,-1371136.91173739
0,28,1454992.51629297,-1371538.86266929
0,29,1454859.56120788,-1371339.36676364
0,30,1454890.58406573,-1371644.94701911
0,31,1454708.17137009,-1371412.7429285
0,32,1454520.12259277,-1371643.12145995
0,33,1454540,-1371760
0,34,1454694.07821311,-1371989.77653734
0,35,1454311.60843597,-1371559.89997869
0,36,1454474.029633,-1371798.68148569
0,37,1454330.54120692,-1371734.53730217
0,38,1454452.41769566,-1371883.0400056
0,39,1454209.23076923,-1371703.07692308
0,40,1454349.98174381,-1371864.72349071
0,41,1454277.30120684,-1371889.32034209
0,42,1454035.27454898,-1371785.17471299
0,43,1454276.88892968,-1371951.93237602
0,44,1454177.83306317,-1371973.18352621
0,45,1454159.99999878,-1372180.00000002
0,46,1453961.90088757,-1372199.5301628
0,47,1454227.39703992,-1372262.82857307
0,48,1453702.2164741,-1372194.41234574
0,49,1454124.71643873,-1372277.8843774
0,50,1453797.77779489,-1372283.47222436
0,51,1454173.37228577,-1372333.10639829
0,52,1454043.66974687,-1372470.29357877
0,53,1454170.48263585,-1372470.13604679
0,54,1454251.81818429,-1372575.45454498
0,55,1454053.33894138,-1372701.81427738
0,56,1454212.98947306,-1372738.35308429
0,57,1454122.06580631,-1372814.66178967
0,58,1454309.55552205,-1372856.157855
0,59,1454250.93735373,-1373065.20399754
0,60,1454428.07689812,-1372973.0084345
0,61,1454204.12502005,-1373215.6001819
0,62,1454396.24310392,-1373087.78234931
0,63,1454205.2030064,-1373296.14396633
0,64,1454492.14286499,-1373094.28570557
0,65,1454387.62705664,-1373262.90406112
0,66,1454473.85964385,-1373249.21053423
0,67,1454452.29267874,-1373423.84036849
0,68,1454664.25426934,-1373183.3437177
0,69,1454670.63525799,-1373432.38825723
0,70,1454763.21934258,-1373204.33843671
0,71,1454714.02491785,-1373563.46561257
0,72,1454911.326568,-1373258.37472653
0,73,1454905.80736442,-1373580.94963676
0,74,1455105.11224262,-1373261.93400447
0,75,1455125.8798079,-1373395.83168573
0,76,1455243.00000366,-1373314.5000177
0,77,1455350.60096094,-1373587.55159452
0,78,1455324.26430829,-1373294.01323944
0,79,1455381.04220722,-1373250.02205055
0,80,1455561.02362205,-1373638.66141732
0,81,1455375,-1373155
0,82,1455625.25198854,-1373436.96382826
0,83,1455539.9056695,-1373222.09199052
0,84,1455740,-1373380
0,85,1455633.59497427,-1373164.15851961
0,86,1455806.86802014,-1373328.6132094
0,87,1455736.44586769,-1373140.3817033
0,88,1455888.71195101,-1373183.86416325
0,89,1455671.5493664,-1372915.09330252
0,90,1455963.18785189,-1373111.38881017
0,91,1455797.83784906,-1372946.3513596
0,92,1455969.12941915,-1372907.07472665
0,93,1455861.9362315,-1372850.17768408
0,94,1456078.70591913,-1372705.12887375
0,95,1455832.73510464,-1372529.70253311
0,96,1456223.81028543,-1372545.71541594
0,97,1455807.22674627,-1372481.76151845
0,98,1455965.18444679,-1372437.95081447
Total signed area in input: 3.158950e+06
Total signed area in output: 3.044748e+06
Total areal displacement: 1.142521e+05
Total vertices in output: 99
